funder_name,source_peer,amount,fy,focus_areas,website,contact_apply,why_new,discovered_date
"Alan and Mary-Louise Archibald Foundation",FareShare,Not disclosed,FY2024,Philanthropic/family foundation (VIC),https://www.acnc.gov.au/charity/charities/,,Not in OZHARVEST known list,2026-07-13
"Arcare Family Foundation",FareShare,Not disclosed,FY2024,Aged care; community wellbeing; ageing well (VIC),https://www.arcarefamilyfoundation.org.au,hello@arcarefamilyfoundation.org.au,Not in OZHARVEST known list,2026-07-13
"Birchall Family Foundation Trust",FareShare,Not disclosed,FY2024,Aged care; emergency relief; hospital services (VIC),https://www.acnc.gov.au/charity/charities/,Ian@oaks.net.au,Not in OZHARVEST known list,2026-07-13
"Brian M Davis Charitable Foundation",FareShare,Not disclosed,FY2024,Philanthropic/family foundation,https://www.acnc.gov.au/charity/charities/,,Not in OZHARVEST known list,2026-07-13
"Campbell Edwards Trust",FareShare,Not disclosed,FY2024,Philanthropic trust,https://www.acnc.gov.au/charity/charities/,,Not in OZHARVEST known list,2026-07-13
"Clayton Utz Foundation",FareShare,Not disclosed,FY2024,Corporate foundation (law firm); community legal access,https://www.claytonutz.com,,"Not in OZHARVEST known list; corporate foundation of major law firm",2026-07-13
"Erdi Foundation",FareShare,Not disclosed,FY2024,Philanthropic/family foundation,https://www.acnc.gov.au/charity/charities/,,Not in OZHARVEST known list,2026-07-13
"Fair World Foundation",FareShare,Not disclosed,FY2024,Philanthropic foundation,https://www.acnc.gov.au/charity/charities/,,Not in OZHARVEST known list,2026-07-13
"G & M Dyer Family Trust",FareShare,Not disclosed,FY2024,Family trust / philanthropic,https://www.acnc.gov.au/charity/charities/,,Not in OZHARVEST known list,2026-07-13
"Gringlas Family Charitable Foundation",FareShare,Not disclosed,FY2024,Family foundation,https://www.acnc.gov.au/charity/charities/,,Not in OZHARVEST known list,2026-07-13
"Hope Saba Foundation",FareShare,Not disclosed,FY2024,Philanthropic foundation,https://www.acnc.gov.au/charity/charities/,,Not in OZHARVEST known list,2026-07-13
"Jack and Ethel Goldin Foundation",FareShare,Not disclosed,FY2024,Philanthropic foundation,https://www.acnc.gov.au/charity/charities/,,Not in OZHARVEST known list,2026-07-13
"Jamie and Rebecca Gray Foundation",FareShare,Not disclosed,FY2024,Family foundation,https://www.acnc.gov.au/charity/charities/,,Not in OZHARVEST known list,2026-07-13
"Joe White Bequest",FareShare,Not disclosed,FY2024,Bequest/philanthropic trust,https://www.acnc.gov.au/charity/charities/,,Not in OZHARVEST known list,2026-07-13
"Kamener Foundation",FareShare,Not disclosed,FY2024,Philanthropic foundation,https://www.acnc.gov.au/charity/charities/,,Not in OZHARVEST known list,2026-07-13
"Mather Foundation",FareShare,Not disclosed,FY2024,Philanthropic foundation,https://www.acnc.gov.au/charity/charities/,,Not in OZHARVEST known list,2026-07-13
"Mazda Foundation",FareShare,Not disclosed,FY2024,Corporate foundation (automotive); community grants,https://www.mazda.com.au,,"Not in OZHARVEST known list; corporate foundation",2026-07-13
"McClintock Family Fund",FareShare,Not disclosed,FY2024,Family fund / philanthropic,https://www.acnc.gov.au/charity/charities/,,Not in OZHARVEST known list,2026-07-13
"Nelson Alexander Charitable Foundation",FareShare,Not disclosed,FY2024,Corporate foundation (real estate) (VIC),https://www.nelsonalexander.com.au,,"Not in OZHARVEST known list; corporate foundation of real estate agency",2026-07-13
"Noel and Carmel O'Brien Family Foundation",FareShare,Not disclosed,FY2024,Family foundation,https://www.acnc.gov.au/charity/charities/,,Not in OZHARVEST known list,2026-07-13
"Opalgate Foundation",FareShare,Not disclosed,FY2024,Philanthropic foundation,https://www.acnc.gov.au/charity/charities/,,Not in OZHARVEST known list,2026-07-13
"Peta Seymour Foundation",FareShare,Not disclosed,FY2024,Philanthropic foundation,https://www.acnc.gov.au/charity/charities/,,Not in OZHARVEST known list,2026-07-13
"Sandi Foundation",FareShare,Not disclosed,FY2024,Philanthropic foundation,https://www.acnc.gov.au/charity/charities/,,Not in OZHARVEST known list,2026-07-13
"Schudmak Family Foundation",FareShare,Not disclosed,FY2024,Family foundation,https://www.acnc.gov.au/charity/charities/,,Not in OZHARVEST known list,2026-07-13
"Silberscher Family Foundation",FareShare,Not disclosed,FY2024,Family foundation,https://www.acnc.gov.au/charity/charities/,,Not in OZHARVEST known list,2026-07-13
"The Bird Family Charitable Trust",FareShare,Not disclosed,FY2024,Family trust,https://www.acnc.gov.au/charity/charities/,,Not in OZHARVEST known list,2026-07-13
"The Dodge Family Foundation",FareShare,Not disclosed,FY2024,Family foundation,https://www.acnc.gov.au/charity/charities/,,Not in OZHARVEST known list,2026-07-13
"The Hansen Little Foundation",FareShare,Not disclosed,FY2024,Philanthropic foundation,https://www.acnc.gov.au/charity/charities/,,Not in OZHARVEST known list,2026-07-13
"The Metamorphic Foundation",FareShare,Not disclosed,FY2024,Philanthropic foundation,https://www.acnc.gov.au/charity/charities/,,Not in OZHARVEST known list,2026-07-13
"The Orloff Family Foundation",FareShare,Not disclosed,FY2024,Family foundation,https://www.acnc.gov.au/charity/charities/,,Not in OZHARVEST known list,2026-07-13
"The Victor Smorgon Group",FareShare,Not disclosed,FY2024,Family/corporate philanthropic (VIC),https://www.smorgon.com.au,,"Not in OZHARVEST known list; major family philanthropic group",2026-07-13
"Newcastle Permanent Charitable Foundation",Foodbank NSW & ACT,$69,380,FY2024,Community grants; regional NSW; PAF,https://www.newcastlepermanent.com.au/charitable-foundation,https://www.newcastlepermanent.com.au/charitable-foundation/funding,"Not in OZHARVEST known list; PAF foundation providing ~$500K/yr",2026-07-13
"Baxter Charitable Foundation",Foodbank NSW & ACT,$60,089,FY2024,Healthcare; community health; weekend breakfast packs,https://www.baxterhealthcare.com.au/our-story/corporate-responsibility/charitable-giving-grants,,"Not in OZHARVEST known list; corporate foundation (healthcare)",2026-07-13
"Stan Perron Charitable Foundation",Foodbank WA,Not disclosed,FY2024,Child health & wellbeing; community grants; WA-focused,https://www.perronfoundation.org.au,https://perronfoundation.smartygrants.com.au,"Not in OZHARVEST known list; WA-based PAF",2026-07-13
